no_origem,no_destino
t1,t10
t1,t23
t1,t424
t1,t559
t1,t908
t2,t84
t2,t112
t2,t399
t2,t693
t2,t864
t3,t306
t3,t405
t3,t437
t3,t600
t3,t610
t3,t799
t3,t913
t4,t96
t4,t290
t4,t644
t4,t821
t5,t87
t5,t181
t5,t586
t5,t689
t5,t759
t5,t814
t5,t824
t5,t891
t6,t106
t6,t245
t6,t575
t6,t646
t7,t896
t7,t913
t8,t272
t8,t280
t8,t355
t8,t460
t8,t678
t8,t778
t8,t819
t9,t63
t9,t432
t9,t717
t9,t948
t10,t530
t10,t693
t10,t702
t10,t852
t10,t902
t10,t938
t10,t955
t11,t409
t11,t564
t11,t838
t12,t68
t12,t86
t12,t181
t12,t242
t12,t631
t12,t707
t12,t933
t12,t943
t13,t17
t13,t18
t13,t606
t13,t684
t13,t729
t13,t831
t14,t17
t14,t81
t14,t313
t14,t494
t14,t690
t14,t875
t15,t522
t15,t560
t15,t566
t15,t704
t15,t984
t16,t378
t16,t448
t16,t504
t16,t507
t16,t610
t17,t66
t17,t501
t17,t826
t18,t171
t18,t184
t18,t240
t18,t308
t18,t397
t18,t504
t19,t62
t19,t100
t19,t144
t19,t306
t19,t420
t19,t437
t19,t828
t20,t50
t20,t130
t20,t285
t20,t336
t20,t369
t20,t980
t21,t309
t21,t331
t21,t573
t21,t578
t21,t643
t21,t649
t21,t655
t21,t788
t22,t538
t22,t604
t22,t678
t22,t746
t23,t265
t23,t435
t23,t679
t23,t692
t23,t748
t24,t411
t24,t577
t25,t100
t25,t110
t25,t158
t26,t6
t26,t200
t26,t408
t26,t518
t26,t545
t26,t692
t26,t853
t26,t908
t27,t92
t27,t145
t27,t150
t27,t552
t28,t362
t28,t503
t28,t783
t28,t888
t28,t923
t28,t997
t29,t15
t29,t81
t29,t156
t29,t322
t29,t366
t29,t455
t29,t668
t29,t721
t29,t842
t29,t900
t30,t48
t30,t316
t30,t368
t30,t454
t30,t907
t30,t955
t31,t9
t31,t178
t31,t783
t32,t102
t32,t151
t32,t719
t33,t229
t33,t837
t33,t979
t34,t16
t34,t635
t34,t679
t34,t812
t34,t968
t35,t79
t35,t149
t35,t263
t35,t516
t35,t763
t36,t8
t36,t216
t36,t724
t36,t778
t37,t115
t37,t140
t37,t292
t37,t348
t37,t420
t37,t496
t37,t541
t37,t557
t37,t614
t38,t30
t38,t97
t38,t168
t38,t173
t38,t523
t38,t524
t38,t772
t38,t925
t38,t961
t39,t496
t39,t545
t39,t717
t40,t316
t40,t460
t40,t485
t40,t665
t40,t816
t41,t82
t41,t447
t41,t555
t41,t666
t41,t900
t42,t370
t43,t107
t43,t141
t43,t259
t43,t537
t43,t559
t43,t669
t43,t718
t43,t786
t43,t817
t43,t880
t44,t64
t44,t93
t44,t147
t44,t190
t44,t238
t45,t29
t45,t286
t45,t295
t45,t671
t46,t775
t46,t960
t47,t23
t47,t66
t47,t572
t47,t897
t48,t125
t48,t236
t48,t419
t48,t552
t48,t617
t48,t929
t48,t998
t49,t328
t49,t561
t49,t634
t49,t859
t50,t59
t50,t144
t50,t203
t50,t239
t50,t364
t50,t667
t50,t669
t51,t13
t51,t107
t51,t156
t51,t436
t51,t582
t51,t590
t51,t689
t51,t838
t52,t125
t52,t143
t52,t472
t52,t614
t52,t638
t52,t661
t53,t22
t53,t316
t53,t368
t53,t651
t53,t881
t54,t158
t54,t505
t54,t781
t54,t876
t54,t912
t55,t357
t55,t462
t56,t8
t56,t34
t56,t82
t56,t118
t56,t144
t56,t174
t56,t373
t56,t455
t56,t607
t56,t853
t56,t865
t56,t933
t57,t241
t57,t827
t57,t878
t57,t951
t58,t239
t58,t866
t59,t102
t59,t152
t59,t237
t59,t859
t59,t951
t59,t981
t60,t117
t60,t374
t61,t671
t61,t890
t61,t899
t61,t936
t61,t965
t62,t8
t62,t254
t62,t796
t62,t861
t63,t98
t63,t156
t63,t412
t63,t728
t63,t767
t63,t801
t63,t863
t63,t868
t63,t880
t63,t961
t64,t22
t64,t151
t64,t476
t64,t579
t64,t806
t64,t892
t64,t909
t65,t126
t65,t200
t65,t449
t65,t512
t65,t555
t65,t592
t65,t644
t66,t136
t66,t165
t66,t407
t66,t713
t66,t881
t66,t998
t67,t28
t67,t433
t67,t730
t68,t15
t68,t372
t68,t547
t68,t785
t69,t44
t69,t136
t69,t304
t69,t306
t69,t468
t69,t496
t69,t523
t69,t572
t70,t447
t70,t464
t70,t491
t70,t584
t70,t678
t70,t691
t70,t870
t71,t113
t71,t295
t71,t313
t71,t392
t71,t409
t71,t449
t71,t544
t71,t550
t71,t579
t71,t789
t72,t363
t72,t433
t72,t824
t72,t916
t72,t931
t72,t984
t73,t51
t73,t54
t73,t114
t73,t327
t73,t457
t73,t542
t73,t794
t74,t186
t74,t200
t74,t315
t74,t742
t74,t840
t74,t935
t75,t118
t75,t792
t76,t29
t76,t195
t76,t333
t76,t575
t76,t673
t76,t736
t77,t95
t77,t333
t77,t437
t77,t571
t77,t600
t77,t608
t77,t916
t78,t40
t78,t186
t78,t421
t78,t663
t79,t1
t79,t592
